Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-21T01:11:55Z,COM6,,UTC=9:11:47,N/A,N/A,N/A,,,,,,,,,74,,517.89,-64.90,-864.37,-14787.50,-16362.50,127T=32,,"Package=31,UTC=9:11:47,Lat=N/A,Lng=N/A,Alt=N/A,Ax=517.89,Ay=-64.90,Az=-864.37,Gx=-14787.50,Gy=-16362.50,Gz=127T=32,H=74,S"
,2025-09-21T01:11:56Z,COM6,,UTC=9:11:48,N/A,N/A,N/A,,,,,,,,,,,493.98,-201.42,-812.52,-6877.50,16572.50,-554T=32,,"Package=32,UTC=9:11:48,Lat=N/A,Lng=N/A,Alt=N/A,Ax=493.98,Ay=-201.42,Az=-812.52,Gx=-6877.50,Gy=16572.50,Gz=-554T=32,H="
,2025-09-21T01:11:57Z,COM6,,UTC=9:11:49,N/A,N/A,N/A,,,,,,,,,,,504.35,-81.62,-848.27,27405.00,14770.00,-9402T=3,,"Package=33,UTC=9:11:49,Lat=N/A,Lng=N/A,Alt=N/A,Ax=504.35,Ay=-81.62,Az=-848.27,Gx=27405.00,Gy=14770.00,Gz=-9402T=3"
,2025-09-21T01:12:05Z,COM6,,UTC=9:11:57,N/A,N/A,N/A,,,,,,,,,,,-163.97,250.95,925.37,-,,,,"Package=41,UTC=9:11:57,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-163.97,Ay=250.95,Az=925.37,Gx=-"
,2025-09-21T01:12:11Z,COM6,,UTC=9:12:2,N/A,N/A,N/A,8.359,0.128,3.350,5.000,3.35,,,32,74,SAT=0,15.86,-12.69,1014.06,17.50,-665.00,-175.00,,"Package=46,UTC=9:12:2,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.86,Ay=-12.69,Az=1014.06,Gx=17.50,Gy=-665.00,Gz=-175.00,T=32,H=74,SAT=0,VBAT=8.359,VSOLAR=0.128,V3V3=3.350,V5V=5.000,V3V3EF=3.35"
,2025-09-21T01:12:12Z,COM6,,UTC=9:12:3,N/A,N/A,N/A,8.345,0.132,3.348,5.000,3.353,,,32,74,SAT=0,16.23,-11.96,1014.06,17.50,-595.00,0.00,,"Package=47,UTC=9:12:3,Lat=N/A,Lng=N/A,Alt=N/A,Ax=16.23,Ay=-11.96,Az=1014.06,Gx=17.50,Gy=-595.00,Gz=0.00,T=32,H=74,SAT=0,VBAT=8.345,VSOLAR=0.132,V3V3=3.348,V5V=5.000,V3V3EF=3.353,"
,2025-09-21T01:12:13Z,COM6,,UTC=9:12:5,N/A,N/A,N/A,,,,,,,,,,,16.35,-11.96,1014.06,-17.50,-560.00,,,"Package=49,UTC=9:12:5,Lat=N/A,Lng=N/A,Alt=N/A,Ax=16.35,Ay=-11.96,Az=1014.06,Gx=-17.50,Gy=-560.00,"
,2025-09-21T01:12:17Z,COM6,,UTC=9:12:8,N/A,N/A,N/A,8.322,0.141,3.344,5.000,3,,,33,74,SAT=0,16.35,-11.83,1014.31,-52.50,-577.50,-17.50,,"Package=52,UTC=9:12:8,Lat=N/A,Lng=N/A,Alt=N/A,Ax=16.35,Ay=-11.83,Az=1014.31,Gx=-52.50,Gy=-577.50,Gz=-17.50,T=33,H=74,SAT=0,VBAT=8.322,VSOLAR=0.141,V3V3=3.344,V5V=5.000,V3V3EF=3"
,2025-09-21T01:12:19Z,COM6,,UTC=9:12:10,N/A,N/A,N/A,8.323,0.148,3.350,5.000,,,,33,74,SAT=0,16.23,-11.96,1014.06,-17.50,-595.00,-17.50,,"Package=54,UTC=9:12:10,Lat=N/A,Lng=N/A,Alt=N/A,Ax=16.23,Ay=-11.96,Az=1014.06,Gx=-17.50,Gy=-595.00,Gz=-17.50,T=33,H=74,SAT=0,VBAT=8.323,VSOLAR=0.148,V3V3=3.350,V5V=5.000,V3V3EF="
,2025-09-21T01:12:21Z,COM6,,UTC=9:12:13,N/A,N/A,N/A,,,,,,,,,,,16.23,-11.96,1013.94,0.00,-630.00,17.50,,"Package=57,UTC=9:12:13,Lat=N/A,Lng=N/A,Alt=N/A,Ax=16.23,Ay=-11.96,Az=1013.94,Gx=0.00,Gy=-630.00,Gz=17.50,"
